NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
JAM,Jamaica,0.72475,0.0013,0,,,2015,0.028619038,-0.015732061,-0.392711029,0.00976488,38.496,-0.4155,1.215494589,0.399308386,-0.375393358,-0.036007595,0.466899452,0.012352982
JPN,Japan,0.91325,0.0017,0,,,2015,0.962190719,-0.009273808,1.402660819,0.045782944,36.88129157,-1.282377332,-0.311843699,-0.570113639,1.648940558,0.035148579,1.072356413,-0.00616286
JOR,Jordan,0.7225,0.0004,0,,,2015,-0.561077536,-0.019054855,0.376738185,0.035368747,35.02133064,0.314330199,-0.581760037,-0.184057971,0.132289203,0.040623789,-0.809100785,-0.029956284
KAZ,Kazakhstan,0.81375,0.0031,0,,,2015,-0.169590776,0.144726625,-0.598902198,0.024803225,27.42,-0.36,-0.835178637,-0.001956203,-0.875874063,0.037513981,-1.170030021,-0.023897552
KEN,Kenya,0.575,0.0038,0,,,2015,-1.271720164,-0.023360543,-0.758102935,0.077574927,41.45829328,-0.329236766,-1.070534684,-0.049113785,-1.00438969,0.008728762,-0.203029234,0.065504932
KOR,"Korea, Rep.",0.90425,0.0017,0,,,2015,0.267324866,-0.02813005,0.988121762,0.002758576,32.02,-0.115,1.175045474,0.161249555,0.497563063,0.015735199,0.703583549,0.000100522
KWT,Kuwait,0.8085,-0.0004,0,,,2015,0.2046228,-0.007832563,0.353826109,-0.062263023,68.67399589,2.445334702,-0.548858003,-0.216988034,-0.099003749,-0.045487565,-0.629906825,-0.030316988
KGZ,Kyrgyz Republic,0.672,0.0018,0,,,2015,-0.96239425,-0.001166451,-1.155480022,0.004674458,27.96,0.18,-0.423749028,0.249700627,-1.167598884,-0.043134027,-0.640535167,0.011713185
LAO,Lao PDR,0.602,0.002,0,,,2015,0.103026782,0.058156026,-0.821424939,0.030195622,36.06348703,-0.155526059,-0.373102808,0.097822046,-1.039775703,0.003870156,-1.65245648,-0.049422496
LVA,Latvia,0.8505,0.0032,0,,,2015,0.495780925,0.07081071,0.822685355,0.059362548,35.16,-0.33,-0.325346068,-0.116577187,0.277476358,0.069121669,0.762068573,0.026442597
LBN,Lebanon,0.72925,0.0013,1,1,,2015,-1.723149003,-0.090448715,-0.759277997,-0.036725047,33.06452984,0.550167166,-1.188685529,-0.132625429,-0.962571219,-0.056191048,-0.428491574,-0.005661967
LSO,Lesotho,0.51425,0.0037,0,,,2015,0.171974376,-0.091541671,-0.28221194,-0.012641355,52.06041539,-0.33835772,1.475717477,0.442356738,0.177466568,0.015078061,0.061239393,0.067851233
LBR,Liberia,0.46475,0.0005,0,,,2015,-0.448927498,0.017701558,-0.850363255,0.083981281,33.97578803,-0.167235041,0.945326051,0.276704564,-0.591462285,0.047559118,-0.280667628,0.066251509
LBY,Libya,0.7025,0.0058,1,1,,2015,-1.530269592,0.041197378,-1.271192781,-0.031491665,29.69989569,-0.100007824,-0.402431509,0.127164762,-1.453081474,-0.050483284,-1.222749934,-0.003557346
LTU,Lithuania,0.866,0.003,0,,,2015,0.801489359,0.057122767,0.830708594,0.037019223,35.6,1.24,0.467583831,0.085265484,0.348722272,0.038211557,0.90243574,0.014179065
LUX,Luxembourg,0.9075,0.0016,0,,,2015,1.354453553,0.022340764,1.818202797,0.018269566,32.68,0.03,0.189337704,-0.484741696,2.110113807,-0.026000838,1.590826236,-0.01037121
MDG,Madagascar,0.51875,0.0021,0,,,2015,-0.670460179,0.001870171,-0.839294015,0.029742445,43.10277911,0.27843983,-0.081071901,0.099065793,-0.571711558,-0.056841898,-0.771934741,0.042939843
